Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-opus-4-5-20251101-thinking,Brightness-quality,brightness_quality,300,300,1,299,0.5333333333333333,0.5144642857142857,0.5554754090872966,0.024997281568031143,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,1,299,0.5333333333333333,0.6480357142857143,0.6201012145748989,0.3863435370798868,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,TCUS-proxy,tcus_proxy,300,300,1,299,0.5333333333333333,0.6441517857142857,0.6157278375010081,0.24912414254065604,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,PSNR,psnr,300,300,0,300,0.2733333333333333,0.5204743790557171,0.2718473673873927,0.03173667251004083,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,SSIM,ssim,300,300,0,300,0.2733333333333333,0.4700716043857686,0.257833589577532,-0.04639103768544219,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Sharpness,sharpness,300,300,0,300,0.2733333333333333,0.5410606399641978,0.33256278893187374,0.06339173932490197,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.2733333333333333,0.5180689192213024,0.3104760252860129,0.02789581989365577,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.2733333333333333,0.5712127992839562,0.30554184948269836,0.1660261012245107,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.2733333333333333,0.576415305437458,0.3296216087225845,0.11797427236759683,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,PSNR,psnr,300,300,0,300,0.5466666666666666,0.5131814921090387,0.5580856492851363,0.022822931679730107,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,SSIM,ssim,300,300,0,300,0.5466666666666666,0.5047076757532282,0.5552110857441462,0.008151047028475038,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Sharpness,sharpness,300,300,0,300,0.5466666666666666,0.5145713773314204,0.5716144889964572,0.025128337926622116,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.5466666666666666,0.560482424677188,0.6093890201168215,0.10430193188619458,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5466666666666666,0.6603299856527977,0.6407656100852507,0.417531524101766,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.5466666666666666,0.6939562410329986,0.6807185716556713,0.3344775072940532,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,PSNR,psnr,300,300,0,300,0.29,0.46039069667044413,0.26130441792723846,-0.06251181518324365,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,SSIM,ssim,300,300,0,300,0.29,0.46594895040742534,0.2633140337640614,-0.05373972122701192,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
